OrderNumer,StoreID,RepID,ProductID,Sold,Revenue2,Returned Reason,TransactionTime,ID,,,,
55,3,30,3532,1,200,,2/2/2023 20:17,3-55,,,,
60,3,30,687,1,750,,2/2/2023 21:55,3-60,,,,
61,3,30,3510,1,213,,2/2/2023 22:03,3-61,,,,
61,3,30,3509,1,213,,2/2/2023 22:03,3-61,,,,
62,3,30,678,1,188,,2/2/2023 22:06,3-62,,,,
69,3,30,672,1,150,,2/2/2023 22:40,3-69,,,,
74,3,30,3360,1,975,,2/3/2023 0:05,3-74,,,,
79,1,15,182,1,138,,2/2/2023 16:40,1-79,,,,
79,3,27,3479,1,875,,2/3/2023 13:38,3-79,,,,
79,3,27,4078,1,50,,2/3/2023 13:38,3-79,,,,
79,3,27,4078,1,50,,2/3/2023 13:38,3-79,,,,
79,3,27,4076,1,50,,2/3/2023 13:38,3-79,,,,
90,3,27,643,1,125,,2/3/2023 14:28,3-90,,,,
90,3,27,3237,1,138,,2/3/2023 14:28,3-90,,,,
94,1,14,1099,1,288,,2/2/2023 18:43,1-94,,,,
105,1,15,3717,1,388,,2/2/2023 21:30,1-105,,,,
105,1,15,3719,1,100,,2/2/2023 21:30,1-105,,,,
105,4,33,4092,1,25,,2/4/2023 13:57,4-105,,,,
106,4,2,11,1,225,,2/4/2023 14:07,4-106,,,,
110,3,4,3550,1,750,,2/3/2023 16:52,3-110,,,,
110,3,4,4213,1,5,,2/3/2023 16:52,3-110,,,,
110,3,4,4213,1,5,,2/3/2023 16:52,3-110,,,,
112,1,10,3972,1,50,,2/3/2023 12:47,1-112,,,,
113,1,11,4092,1,25,,2/3/2023 12:49,1-113,,,,
113,3,4,4078,1,50,,2/3/2023 17:06,3-113,,,,
127,1,10,1138,1,200,,2/3/2023 14:43,1-127,,,,
128,4,2,4092,1,25,,2/4/2023 19:37,4-128,,,,
129,3,4,3467,1,700,,2/3/2023 18:28,3-129,,,,
129,3,4,3465,1,700,,2/3/2023 18:28,3-129,,,,
132,3,27,2862,1,275,,2/3/2023 19:35,3-132,,,,
132,3,27,2862,1,275,,2/3/2023 19:35,3-132,,,,
132,3,27,4231,13,33,,2/3/2023 19:35,3-132,,,,
133,4,2,636,1,250,,2/4/2023 21:27,4-133,,,,
134,4,23,4086,1,10,,2/4/2023 21:38,4-134,,,,
134,4,23,4089,1,10,,2/4/2023 21:38,4-134,,,,
134,4,23,4088,1,10,,2/4/2023 21:38,4-134,,,,
136,3,4,3249,1,98,,2/3/2023 20:23,3-136,,,,
136,4,23,109,1,578,,2/4/2023 21:58,4-136,,,,
136,4,23,1166,1,25,,2/4/2023 21:58,4-136,,,,
137,3,30,11,1,225,,2/3/2023 20:48,3-137,,,,
